,Data,hora,Modalidade,Nipe,Categoria,Time da Casa,Estado de Origem: Time da Casa,resultado final time da casa,X,resultado final visitante,Visitante,Estado de Origem: Time Visitante,Local,Campeonato,Cidade,Estado,total de pontos;
2545,05/18/1980,,XV,Masculino,Adulto,Poli,SP,22,X,28,Federal,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2546,05/18/1980,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,24,X,12,Mauá,SP,,Campeonato Paulista - Série B,,,;
2547,05/18/1980,,XV,Masculino,Adulto,Pasteur,SP,12,X,11,Alphaville,SP,,Campeonato Paulista - Série A,,,;
2548,05/18/1980,,XV,Masculino,Adulto,Medicina,SP,10,X,12,Palmeiras,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2549,05/18/1980,,XV,Masculino,Adulto,Niterói B,RJ,24,X,24,Niterói,RJ,,Campeonato Fluminense - Série A,,RJ,;
2550,05/18/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,0,X,38,Guanabara,RJ,,Campeonato Fluminense - Série A,,RJ,;
2552,05/18/1980,,XV,Masculino,Adulto,Pasteur,SP,12,X,11,Alphaville,SP,,Campeonato Brasileiro - Série A,,,;
2556,05/24/1980,,XV,Masculino,Adulto,Unicamp,SP,3,X,24,FEI,SP,,Campeonato Paulista - Série B,,,;
2557,05/24/1980,,XV,Masculino,Adulto,Unicamp,SP,3,X,24,FEI,SP,,Campeonato Brasileiro - Série B,,,;
2563,05/25/1980,,XV,Masculino,Adulto,Poli,SP,24,X,10,Mauá,SP,,Campeonato Paulista - Série B,,,;
2564,05/25/1980,,XV,Masculino,Adulto,Federal,SP,19,X,6,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2565,05/25/1980,,XV,Masculino,Adulto,Guanabara B,RJ,8,X,4,Rio Rugby,RJ,,Campeonato Fluminense - Série A,,,;
2566,05/25/1980,,XV,Masculino,Adulto,Guanabara,RJ,34,X,7,Niterói B,RJ,,Campeonato Fluminense - Série A,,RJ,;
2568,05/25/1980,,XV,Masculino,Adulto,Guanabara B,RJ,8,X,4,Rio Rugby,RJ,,Campeonato Brasileiro - Série B,,,;
2578,06/01/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,6,X,38,Unicamp,,,Campeonato Brasileiro - Série B,,,;
2579,06/01/1980,,XV,Masculino,Adulto,Guanabara B,RJ,0,X,18,FEI,,,Campeonato Brasileiro - Série B,,,;
2580,06/01/1980,,XV,Masculino,Adulto,Niterói,RJ,11,X,17,Federal,,,Campeonato Brasileiro - Série B,,,;
2581,06/01/1980,,XV,Masculino,Adulto,Guanabara,,17,X,15,Pasteur,,,Campeonato Brasileiro - Série A,,,;
2582,06/01/1980,,XV,Masculino,Adulto,Niterói,RJ,24,X,24,Medicina,,,Campeonato Brasileiro - Série A,,,;
2585,06/08/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,16,X,10,Niterói B,RJ,,Campeonato Fluminense - Série A,,,;
2586,06/08/1980,,XV,Masculino,Adulto,Guanabara B,RJ,16,X,16,Niterói,RJ,,Campeonato Fluminense - Série A,,RJ,;
2587,06/08/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,16,X,10,Niterói B,RJ,,Campeonato Brasileiro - Série B,,,;
2588,06/14/1980,,XV,Masculino,Adulto,SPAC,SP,20,X,7,Medicina,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2589,06/14/1980,,XV,Masculino,Adulto,Nippon,SP,6,X,10,Pasteur,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2590,06/14/1980,,XV,Masculino,Adulto,Palmeiras,SP,4,X,31,Alphaville,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2595,06/15/1980,,XV,Masculino,Adulto,Federal,SP,12,X,14,FEI,SP,,Campeonato Paulista - Série B,,,;
2596,06/15/1980,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,28,X,13,UNICAMP,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2597,06/15/1980,,XV,Masculino,Adulto,Guanabara,RJ,12,X,10,Guanabara B,RJ,,Campeonato Fluminense - Série A,,RJ,;
2598,06/15/1980,,XV,Masculino,Adulto,Niterói,RJ,25,X,3,Rio Rugby,RJ,,Campeonato Fluminense - Série A,,RJ,;
2599,06/15/1980,,XV,Masculino,Adulto,Federal,SP,12,X,14,FEI,SP,,Campeonato Brasileiro - Série B,,,;
2602,06/21/1980,,XV,Masculino,Adulto,Unicamp,SP,15,X,32,Federal,SP,,Campeonato Paulista - Série B,,,;
2603,06/21/1980,,XV,Masculino,Adulto,Pasteur,SP,6,X,0,SPAC,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2604,06/21/1980,,XV,Masculino,Adulto,Nippon,SP,9,X,19,Palmeiras,SP,,Campeonato Paulista - Série A,,,;
2605,06/21/1980,,XV,Masculino,Adulto,Unicamp,SP,15,X,32,Federal,SP,,Campeonato Brasileiro - Série B,,,;
2609,06/22/1980,,XV,Masculino,Adulto,FEI,SP,12,X,15,Poli,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2610,06/22/1980,,XV,Masculino,Adulto,Alphaville,SP,18,X,6,Medicina,SP,,Campeonato Paulista - Série A,,,;
2611,06/22/1980,,XV,Masculino,Adulto,Niterói B,RJ,0,X,34,Guanabara B,RJ,,Campeonato Fluminense - Série A,,,;
2612,06/22/1980,,XV,Masculino,Adulto,Niterói,RJ,0,X,14,Guanabara,RJ,,Campeonato Fluminense - Série A,,,;
2613,06/22/1980,,XV,Masculino,Adulto,Niterói B,RJ,0,X,34,Guanabara B,RJ,,Campeonato Brasileiro - Série B,,,;
2614,06/22/1980,,XV,Masculino,Adulto,Alphaville,SP,18,X,6,Medicina,SP,,Campeonato Brasileiro - Série A,,,;
2615,06/22/1980,,XV,Masculino,Adulto,Niterói,RJ,0,X,14,Guanabara,RJ,,Campeonato Brasileiro - Série A,,,;
2619,06/29/1980,,XV,Masculino,Adulto,FEI,,8,X,28,Niterói B,,,Campeonato Brasileiro - Série B,,,;
2620,06/29/1980,,XV,Masculino,Adulto,Federal,,12,X,0,Rio Rugby,,,Campeonato Brasileiro - Série B,,,;
2621,06/29/1980,,XV,Masculino,Adulto,Guanabara B,RJ,12,X,0,Unicamp,,,Campeonato Brasileiro - Série B,,,;
2622,06/29/1980,,XV,Masculino,Adulto,Pasteur,SP,10,X,18,Niterói,,,Campeonato Brasileiro - Série A,,,;
2623,06/29/1980,,XV,Masculino,Adulto,Guanabara,,16,X,4,Alphaville,,,Campeonato Brasileiro - Série A,,,;
2626,08/09/1980,,XV,Masculino,Adulto,Unicamp,SP,6,X,48,Poli,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2629,08/10/1980,,XV,Masculino,Adulto,FEI,SP,49,X,12,Mauá,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2630,08/10/1980,,XV,Masculino,Adulto,Niterói,RJ,32,X,16,Niterói B,RJ,,Campeonato Fluminense - Série A,,RJ,;
2631,08/10/1980,,XV,Masculino,Adulto,Guanabara,RJ,40,X,19,Rio Rugby,RJ,,Campeonato Fluminense - Série A,,RJ,;
2632,08/16/1980,,XV,Masculino,Adulto,SPAC,SP,18,X,24,Palmeiras,SP,,Campeonato Paulista - Série A,,,;
2633,08/16/1980,,XV,Masculino,Adulto,Nippon,SP,0,X,48,Alphaville,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2637,08/17/1980,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,7,X,6,FEI,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2638,08/17/1980,,XV,Masculino,Adulto,Mauá,SP,10,X,33,Unicamp,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2639,08/17/1980,,XV,Masculino,Adulto,Pasteur,SP,18,X,22,Medicina,SP,,Campeonato Paulista - Série A,,,;
2640,08/17/1980,,XV,Masculino,Adulto,Guanabara B,RJ,14,X,68,Guanabara,RJ,,Campeonato Fluminense - Série A,,RJ,;
2641,08/17/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,16,X,9,Niterói,RJ,,Campeonato Fluminense - Série A,,RJ,;
2642,08/17/1980,,XV,Masculino,Adulto,Pasteur,SP,18,X,22,Medicina,SP,,Campeonato Brasileiro - Série A,,,;
2643,08/23/1980,,XV,Masculino,Adulto,Pasteur,SP,16,X,14,Palmeiras,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2649,08/24/1980,,XV,Masculino,Adulto,Federal,SP,16,X,48,Poli,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2650,08/24/1980,,XV,Masculino,Adulto,Mauá,SP,12,X,22,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,,,;
2651,08/24/1980,,XV,Masculino,Adulto,Alphaville,SP,18,X,3,SPAC,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2652,08/24/1980,,XV,Masculino,Adulto,Medicina,SP,4,X,0,Nippon,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2663,08/31/1980,,XV,Masculino,Adulto,Unicamp,,10,X,12,Guanabara B,,,Campeonato Brasileiro - Série B,,,;
2664,08/31/1980,,XV,Masculino,Adulto,Niterói B,RJ,4,X,26,FEI,,,Campeonato Brasileiro - Série B,,,;
2665,08/31/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,27,X,19,Federal,,,Campeonato Brasileiro - Série B,,,;
2666,08/31/1980,,XV,Masculino,Adulto,Alphaville,,25,X,10,Guanabara,,,Campeonato Brasileiro - Série A,,,;
2667,08/31/1980,,XV,Masculino,Adulto,Niterói,RJ,44,X,12,Pasteur,,,Campeonato Brasileiro - Série A,,,;
2680,09/13/1980,,XV,Masculino,Adulto,Nippon,SP,0,X,14,SPAC,SP,,Campeonato Paulista - Série A,,,;
2681,09/13/1980,,XV,Masculino,Adulto,Palmeiras,SP,14,X,21,Medicina,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2690,09/14/1980,,XV,Masculino,Adulto,Poli,SP,26,X,10,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,,,;
2691,09/14/1980,,XV,Masculino,Adulto,Federal,SP,43,X,9,Mauá,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2692,09/14/1980,,XV,Masculino,Adulto,Alphaville,SP,12,X,3,Pasteur,SP,,Campeonato Paulista - Série A,,,;
2694,09/14/1980,,XV,Masculino,Adulto,Alphaville,SP,12,X,3,Pasteur,SP,,Campeonato Brasileiro - Série A,,,;
2697,09/20/1980,,XV,Masculino,Adulto,Unicamp,SP,6,X,24,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2703,09/21/1980,,XV,Masculino,Adulto,FEI,SP,24,X,14,Federal,SP,,Campeonato Paulista - Série B,,,;
2704,09/21/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,0,X,34,Guanabara B,RJ,,Campeonato Fluminense - Série A,,,;
2705,09/21/1980,,XV,Masculino,Adulto,Niterói B,RJ,12,X,40,Guanabara,RJ,,Campeonato Fluminense - Série A,,RJ,;
2706,09/21/1980,,XV,Masculino,Adulto,FEI,SP,24,X,14,Federal,SP,,Campeonato Brasileiro - Série B,,,;
2707,09/21/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,0,X,34,Guanabara B,RJ,,Campeonato Brasileiro - Série B,,,;
2716,09/28/1980,,XV,Masculino,Adulto,Rio Rugby,RJ,0,X,12,FEI,,,Campeonato Brasileiro - Série B,,,;
2717,09/28/1980,,XV,Masculino,Adulto,Guanabara B,RJ,6,X,40,Federal,,,Campeonato Brasileiro - Série B,,,;
2718,09/28/1980,,XV,Masculino,Adulto,Niterói B,RJ,0,X,12,Unicamp,,,Campeonato Brasileiro - Série B,,,;
2719,09/28/1980,,XV,Masculino,Adulto,Guanabara,,15,X,19,Medicina,,,Campeonato Brasileiro - Série A,,,;
2720,09/28/1980,,XV,Masculino,Adulto,Niterói,RJ,0,X,42,Alphaville,,,Campeonato Brasileiro - Série A,,,;
2724,10/04/1980,,XV,Masculino,Adulto,SPAC,SP,3,X,9,Pasteur,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2725,10/04/1980,,XV,Masculino,Adulto,Palmeiras,SP,10,X,12,Nippon,SP,,Campeonato Paulista - Série A,,,;
2734,10/05/1980,,XV,Masculino,Adulto,Medicina,SP,6,X,7,Alphaville,SP,,Campeonato Paulista - Série A,,,;
2735,10/05/1980,,XV,Masculino,Adulto,Niterói B,RJ,27,X,23,Rio Rugby,RJ,,Campeonato Fluminense - Série A,,,;
2736,10/05/1980,,XV,Masculino,Adulto,Niterói,RJ,0,X,24,Guanabara B,RJ,,Campeonato Fluminense - Série A,,RJ,;
2737,10/05/1980,,XV,Masculino,Adulto,Niterói B,RJ,27,X,23,Rio Rugby,RJ,,Campeonato Brasileiro - Série B,,,;
2738,10/05/1980,,XV,Masculino,Adulto,Medicina,SP,6,X,7,Alphaville,SP,,Campeonato Brasileiro - Série A,,,;
2742,10/11/1980,,XV,Masculino,Adulto,Engenharia Mackenzie B,SP,3,X,0,Medicina B,SP,,Campeonato Paulista - Série A,,,;
2750,10/12/1980,,XV,Masculino,Adulto,Federal,SP,12,X,0,Unicamp,SP,,Campeonato Paulista - Série B,,,;
2751,10/12/1980,,XV,Masculino,Adulto,Federal,SP,12,X,0,Unicamp,SP,,Campeonato Brasileiro - Série B,,,;
2755,10/18/1980,,XV,Masculino,Adulto,Pasteur,SP,52,X,3,Nippon,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2759,10/19/1980,,XV,Masculino,Adulto,Mauá,SP,3,X,70,Poli,SP,,Campeonato Paulista - Série B,,,;
2760,10/19/1980,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,0,X,12,Federal,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2761,10/19/1980,,XV,Masculino,Adulto,FEI,SP,58,X,3,Unicamp,SP,,Campeonato Paulista - Série B,,,;
2762,10/19/1980,,XV,Masculino,Adulto,Alphaville,SP,9,X,19,Palmeiras,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2763,10/19/1980,,XV,Masculino,Adulto,Medicina,SP,12,X,0,SPAC,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2764,10/19/1980,,XV,Masculino,Adulto,Guanabara B,RJ,32,X,3,Niterói B,RJ,,Campeonato Fluminense - Série A,,,;
2765,10/19/1980,,XV,Masculino,Adulto,Guanabara,RJ,42,X,14,Niterói,RJ,,Campeonato Fluminense - Série A,,,;
2767,10/19/1980,,XV,Masculino,Adulto,FEI,SP,58,X,3,Unicamp,SP,,Campeonato Brasileiro - Série B,,,;
2768,10/19/1980,,XV,Masculino,Adulto,Guanabara B,RJ,32,X,3,Niterói B,RJ,,Campeonato Brasileiro - Série B,,,;
2769,10/19/1980,,XV,Masculino,Adulto,Guanabara,RJ,42,X,14,Niterói,RJ,,Campeonato Brasileiro - Série A,,,;
2776,10/26/1980,,XV,Masculino,Adulto,FEI,,18,X,6,Guanabara B,,,Campeonato Brasileiro - Série B,,,;
2777,10/26/1980,,XV,Masculino,Adulto,Federal,,42,X,15,Niterói B,,,Campeonato Brasileiro - Série B,,,;
2778,10/26/1980,,XV,Masculino,Adulto,Unicamp,,0,X,12,Rio Rugby,,,Campeonato Brasileiro - Série B,,,;
2779,10/26/1980,,XV,Masculino,Adulto,Pasteur,SP,12,X,0,Guanabara,,,Campeonato Brasileiro - Série A,,,;
2780,10/26/1980,,XV,Masculino,Adulto,Medicina,SP,16,X,4,Niterói,,,Campeonato Brasileiro - Série A,,,;
2791,11/02/1980,,XV,Masculino,Adulto,Poli,SP,10,X,14,FEI,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2875,04/04/1981,,XV,Masculino,Adulto,Pasteur,SP,14,X,10,SPAC,SP,,Campeonato Paulista - Série A,,,;
2883,04/05/1981,,XV,Masculino,Adulto,Mauá,SP,6,X,76,Poli,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2884,04/05/1981,,XV,Masculino,Adulto,Nippon,SP,12,X,48,Federal,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2885,04/05/1981,,XV,Masculino,Adulto,Bruder,SP,6,X,13,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2886,04/05/1981,,XV,Masculino,Adulto,Medicina,SP,30,X,6,Palmeiras,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2887,04/05/1981,,XV,Masculino,Adulto,Alphaville,SP,10,X,9,FEI,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2888,04/05/1981,,XV,Masculino,Adulto,Guanabara,RJ,3,X,9,Guanabara B,RJ,,Campeonato Fluminense - Série A,,RJ,;
2891,04/11/1981,,XV,Masculino,Adulto,Poli,SP,14,X,7,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2892,04/11/1981,,XV,Masculino,Adulto,SPAC,SP,13,X,12,FEI,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2893,04/11/1981,,XV,Masculino,Adulto,Palmeiras,SP,6,X,56,Alphaville,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2901,04/12/1981,,XV,Masculino,Adulto,Mauá,SP,0,X,37,Nippon,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2902,04/12/1981,,XV,Masculino,Adulto,Federal,SP,14,X,7,Bruder,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2903,04/12/1981,,XV,Masculino,Adulto,Medicina,SP,9,X,3,Pasteur,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2904,04/12/1981,,XV,Masculino,Adulto,Rio Rugby,RJ,7,X,16,Niterói,RJ,,Campeonato Fluminense - Série A,,RJ,;
2923,04/25/1981,,XV,Masculino,Adulto,Palmeiras,SP,4,X,34,Pasteur,SP,,Campeonato Paulista - Série A,,,;
2927,04/26/1981,,XV,Masculino,Adulto,Nippon,SP,3,X,59,Poli,SP,,Campeonato Paulista - Série B,,,;
2928,04/26/1981,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,17,X,10,Federal,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2929,04/26/1981,,XV,Masculino,Adulto,Mauá,SP,6,X,21,Bruder,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2930,04/26/1981,,XV,Masculino,Adulto,FEI,SP,9,X,24,Medicina,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2931,04/26/1981,,XV,Masculino,Adulto,Alphaville,SP,24,X,6,SPAC,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2932,04/26/1981,,XV,Masculino,Adulto,Niterói,RJ,25,X,10,Guanabara B,RJ,,Campeonato Fluminense - Série A,,RJ,;
2939,05/03/1981,,XV,Masculino,Adulto,Rio Rugby,RJ,0,X,7,Guanabara,RJ,,Campeonato Fluminense - Série A,,RJ,;
2942,05/09/1981,,XV,Masculino,Adulto,FEI,SP,10,X,16,Palmeiras,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2949,05/10/1981,,XV,Masculino,Adulto,Poli,SP,48,X,0,Bruder,SP,,Campeonato Paulista - Série B,,,;
2950,05/10/1981,,XV,Masculino,Adulto,Nippon,SP,0,X,12,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2951,05/10/1981,,XV,Masculino,Adulto,Federal,SP,100,X,6,Mauá,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2952,05/10/1981,,XV,Masculino,Adulto,Medicina,SP,22,X,3,SPAC,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2953,05/10/1981,,XV,Masculino,Adulto,Pasteur,SP,12,X,4,Alphaville,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2954,05/10/1981,,XV,Masculino,Adulto,Guanabara,RJ,9,X,36,Niterói,RJ,,Campeonato Fluminense - Série A,,RJ,;
2962,05/16/1981,,XV,Masculino,Adulto,SPAC,SP,7,X,20,Palmeiras,SP,,Campeonato Paulista - Série A,,,;
2965,05/17/1981,,XV,Masculino,Adulto,Poli,SP,9,X,8,Federal,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2966,05/17/1981,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,90,X,0,Mauá,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
2967,05/17/1981,,XV,Masculino,Adulto,Bruder,SP,0,X,12,Nippon,SP,,Campeonato Paulista - Série B,,,;
2968,05/17/1981,,XV,Masculino,Adulto,Alphaville,SP,15,X,31,Medicina,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2969,05/17/1981,,XV,Masculino,Adulto,FEI,SP,0,X,26,Pasteur,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
2970,05/17/1981,,XV,Masculino,Adulto,Guanabara B,RJ,12,X,27,Rio Rugby,RJ,,Campeonato Fluminense - Série A,,RJ,;
2994,05/24/1981,,XV,Masculino,Adulto,Federal,,11,X,19,Guanabara B,,,Campeonato Brasileiro - Série B,,,;
2995,05/24/1981,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,18,X,6,Mauá,,,Campeonato Brasileiro - Série B,,,;
2996,05/24/1981,,XV,Masculino,Adulto,Medicina,SP,12,X,0,Guanabara,,,Campeonato Brasileiro - Série A,,,;
2997,05/24/1981,,XV,Masculino,Adulto,Niterói,RJ,6,X,4,Alphaville,,,Campeonato Brasileiro - Série A,,,;
3008,05/31/1981,,XV,Masculino,Adulto,Medicina,SP,15,X,6,Alphaville,,,Campeonato Brasileiro - Série A,,,;
3009,05/31/1981,,XV,Masculino,Adulto,FEI,,13,X,25,Niterói,,,Campeonato Brasileiro - Série A,,,;
3014,06/07/1981,,XV,Masculino,Adulto,Guanabara B,RJ,14,X,36,Engenharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
3015,06/07/1981,,XV,Masculino,Adulto,Niterói,RJ,14,X,35,Medicina,,,Campeonato Brasileiro - Série A,,,;
3016,06/07/1981,,XV,Masculino,Adulto,Guanabara,,6,X,8,FEI,,,Campeonato Brasileiro - Série A,,,;
3021,06/13/1981,,XV,Masculino,Adulto,Federal,,38,X,10,Mauá,,,Campeonato Brasileiro - Série B,,,;
3024,06/14/1981,,XV,Masculino,Adulto,Alphaville,,9,X,0,FEI,,,Campeonato Brasileiro - Série A,,,;
3025,06/14/1981,,XV,Masculino,Adulto,Guanabara,,0,X,48,Niterói,,,Campeonato Brasileiro - Série A,,,;
3050,06/27/1981,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,13,X,20,Federal,,,Campeonato Brasileiro - Série B,,,;
3055,06/28/1981,,XV,Masculino,Adulto,Mauá,SP,4,X,26,Guanabara B,,,Campeonato Brasileiro - Série B,,,;
3056,06/28/1981,,XV,Masculino,Adulto,FEI,,4,X,34,Medicina,,,Campeonato Brasileiro - Série A,,,;
3057,06/28/1981,,XV,Masculino,Adulto,Alphaville,,66,X,0,Guanabara,,,Campeonato Brasileiro - Série A,,,;
3065,08/02/1981,,XV,Masculino,Adulto,Guanabara B,RJ,10,X,20,Guanabara,RJ,,Campeonato Fluminense - Série A,,RJ,;
3066,08/08/1981,,XV,Masculino,Adulto,Federal,SP,18,X,7,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3067,08/08/1981,,XV,Masculino,Adulto,SPAC,SP,7,X,11,Medicina,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3068,08/08/1981,,XV,Masculino,Adulto,Palmeiras,SP,20,X,8,FEI,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3069,08/09/1981,,XV,Masculino,Adulto,Poli,SP,66,X,3,Nippon,SP,,Campeonato Paulista - Série B,,,;
3070,08/09/1981,,XV,Masculino,Adulto,Alphaville,SP,24,X,12,Pasteur,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3071,08/09/1981,,XV,Masculino,Adulto,Niterói,RJ,28,X,12,Rio Rugby,RJ,,Campeonato Fluminense - Série A,,RJ,;
3080,08/15/1981,,XV,Masculino,Adulto,SPAC,SP,3,X,4,Aplhaville,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3081,08/15/1981,,XV,Masculino,Adulto,Pasteur,SP,13,X,12,Palmeiras,SP,,Campeonato Paulista - Série A,,,;
3088,08/16/1981,,XV,Masculino,Adulto,Bruder,SP,70,X,6,Mauá,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3089,08/16/1981,,XV,Masculino,Adulto,Medicina,SP,44,X,6,FEI,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3092,08/22/1981,,XV,Masculino,Adulto,Mauá,SP,9,X,79,Federal,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3093,08/22/1981,,XV,Masculino,Adulto,Bruder,SP,17,X,30,Poli,SP,,Campeonato Paulista - Série B,,,;
3103,08/23/1981,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,46,X,6,Nippon,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3104,08/23/1981,,XV,Masculino,Adulto,Guanabara B,RJ,6,X,27,Niterói,RJ,,Campeonato Fluminense - Série A,,RJ,;
3111,08/29/1981,,XV,Masculino,Adulto,FEI,SP,17,X,3,SPAC,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3118,08/30/1981,,XV,Masculino,Adulto,Poli,SP,49,X,6,Mauá,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3119,08/30/1981,,XV,Masculino,Adulto,Federal,SP,72,X,22,Nippon,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3120,08/30/1981,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,16,X,19,Bruder,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3121,08/30/1981,,XV,Masculino,Adulto,Pasteur,SP,13,X,13,Medicina,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3122,08/30/1981,,XV,Masculino,Adulto,Alphaville,SP,32,X,12,Palmeiras,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3123,08/30/1981,,XV,Masculino,Adulto,Guanabara,RJ,19,X,23,Rio Rugby,RJ,,Campeonato Fluminense - Série A,,RJ,;
3125,09/05/1981,,XV,Masculino,Adulto,Palmeiras,SP,4,X,9,Medicina,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3128,09/06/1981,,XV,Masculino,Adulto,Federal,SP,19,X,18,Poli,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3129,09/06/1981,,XV,Masculino,Adulto,Mauá,SP,24,X,44,Engenharia Mackenzie,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3130,09/06/1981,,XV,Masculino,Adulto,FEI,SP,3,X,17,Alphaville,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
3156,09/13/1981,,XV,Masculino,Adulto,Nippon,SP,0,X,80,Bruder,SP,,Campeonato Paulista - Série B,,,;
3157,09/13/1981,,XV,Masculino,Adulto,Niterói,RJ,47,X,13,Guanabara,RJ,,Campeonato Fluminense - Série A,,RJ,;
3167,09/19/1981,,XV,Masculino,Adulto,Palmeiras,SP,20,X,16,SPAC,SP,,Campeonato Paulista - Série A,,,;
3170,09/20/1981,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,6,X,50,Poli,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3171,09/20/1981,,XV,Masculino,Adulto,Nippon,SP,14,X,10,Mauá,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3172,09/20/1981,,XV,Masculino,Adulto,Bruder,SP,3,X,0,Federal,SP,,Campeonato Paulista - Série B,São Paulo,SP,;
3173,09/20/1981,,XV,Masculino,Adulto,Medicina,SP,21,X,27,Alphaville,SP,,Campeonato Paulista - Série A,São Paulo,SP,;
