,Data,hora,Modalidade,Nipe,Categoria,Time da Casa,Estado de Origem: Time da Casa,resultado final time da casa,X,resultado final visitante,Visitante,Estado de Origem: Time Visitante,Local,Campeonato,Cidade,Estado,total de pontos;
150,10/26/1968,,XV,Masculino,Adulto,SPAC,,27,X,8,SPAC B,,,Campeonato Paulista - Série A,São Paulo,SP,35;
164,04/18/1970,,XV,Masculino,Adulto,Medicina,SP,0,X,0,SPAC B,,,Campeonato Brasileiro - Série B,,,;
181,05/30/1970,,XV,Masculino,Adulto,Barbarians,,23,X,16,CUSP,,,Campeonato Brasileiro - Série A,,,;
183,06/06/1970,,XV,Masculino,Adulto,SPAC ‘B’,,0,X,23,Engenharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
184,06/06/1970,,XV,Masculino,Adulto,Pasteur,SP,13,X,6,Medicina,SP,,Campeonato Brasileiro - Série B,,,;
185,06/06/1970,,XV,Masculino,Adulto,SPAC,,32,X,0,SP RFC,,,Campeonato Brasileiro - Série A,,,;
186,06/13/1970,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,0,X,17,SPAC,SP,,Campeonato Brasileiro - Série A,,,;
187,06/14/1970,,XV,Masculino,Adulto,Medicina,SP,6,X,9,Engenharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
191,07/11/1970,,XV,Masculino,Adulto,Barbarians,,16,X,3,SPAC,,,Campeonato Brasileiro - Série A,,,;
193,07/18/1970,,XV,Masculino,Adulto,SPRFC,,3,X,49,Barbarians,,,Campeonato Brasileiro - Série A,,,;
205,08/09/1970,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,21,X,0,SP RFC,SP,,Campeonato Brasileiro - Série A,,,;
208,08/15/1970,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,9,X,8,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
211,08/22/1970,,XV,Masculino,Adulto,Medicina,SP,3,X,41,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
212,08/22/1970,,XV,Masculino,Adulto,SPRFC,,5,X,34,SPAC,,,Campeonato Brasileiro - Série A,,,;
213,08/29/1970,,XV,Masculino,Adulto,Pasteur,SP,12,X,12,Engenharia Mackenzie,SP,,Campeonato Brasileiro - Série B,,,;
219,09/12/1970,,XV,Masculino,Adulto,Pasteur,SP,16,X,9,SPAC B,SP,,Campeonato Brasileiro - Série B,,,;
220,09/12/1970,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,0,X,14,Barbarians,SP,,Campeonato Brasileiro - Série A,,,;
222,09/19/1970,,XV,Masculino,Adulto,SPAC ‘B’,,5,X,16,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
223,09/20/1970,,XV,Masculino,Adulto,Barbarians,,49,X,0,SPRFC,,,Campeonato Brasileiro - Série A,,,;
226,09/26/1970,,XV,Masculino,Adulto,SPRFC,,3,X,21,CUSP,,,Campeonato Brasileiro - Série A,,,;
227,10/03/1970,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,19,X,3,SPAC B,,,Campeonato Brasileiro - Série B,,,;
230,10/10/1970,,XV,Masculino,Adulto,SPAC ‘B’,,8,X,5,Medicina,,,Campeonato Brasileiro - Série B,,,;
234,10/17/1970,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,0,X,3,Medicina,SP,Campo da Medicina USP,Campeonato Brasileiro - Série B,,,;
236,10/24/1970,,XV,Masculino,Adulto,SPAC,,8,X,11,Barbarians,,,Campeonato Brasileiro - Série A,,,;
237,10/31/1970,,XV,Masculino,Adulto,SPAC,,17,X,3,CUSP,,,Campeonato Brasileiro - Série A,,,;
282,05/15/1971,,XV,Masculino,Adulto,Colégio São Bento,SP,8,X,20,Liceu Pasteur C,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
